Entity,Service Description,Price
BHM,Agglutination grouping,$59.00 
BHM,AICD dual chamber rec l,$1.00 
BHM,AICD other sing dual rec l,$1.00 
BHM,AICD single chamber rec l,$1.00 
BHM,Air filter bubble trap cxb 5,$0.00 
BHM,Airway 6mm nasopharnygl 340 0,$0.00 
BHM,Airway 90mm ntbt fbrop 2 9,$0.00 
BHM,Airway Berman 100mm h,$0.00 
BHM,Airway Berman 40mm neo 312 0,$0.00 
BHM,Airway Berman 50mm f,$0.00 
BHM,Airway Berman 50mm infant h,$0.00 
BHM,Airway Berman 60mm child ,$0.00 
BHM,Airway Berman 70mm child d,$0.00 
BHM,Airway Berman 8 m,$0.00 
BHM,Airway Berman 80mm 312 0,$0.00 
BHM,Airway Berman 90mm 312 0,$0.00 
BHM,Airway bi-nasal 2.5 n8 9,$0.00 
BHM,Airway cont pos presur 1 r,$0.00 
BHM,Airway cont pos presur 10. r,$0.00 
BHM,Airway cont pos presure 7. r,$0.00 
BHM,Airway esph3 4 5 chld adlt1 0,$0.00 
BHM,Airway glidescope 3 02700 6,$0.00 
BHM,Airway glidescope 4 02700 8,$0.00 
BHM,Airway nasal 26fr LF adj h8 0,$0.00 
BHM,Airway nasal 28f LF 1231 8,$0.00 
BHM,Airway nasal 28fr LF adj h8 1,$0.00 
BHM,Airway nasal 30fr LF 15075 0,$0.00 
BHM,Airway nasal 30fr LF adj h8 2,$0.00 
BHM,Airway nasal 32fr LF 15075 2,$0.00 
BHM,Airway nasal 32fr LF adj h8 3,$0.00 
BHM,Airway nasal 34fr LF adj h8 4,$0.00 
BHM,Airway nasal 7. m,$0.00 
BHM,Airway nasal LF 30 1-2312 0,$0.00 
BHM,Airway nasal LF 32 1-2312 2,$0.00 
BHM,Airway nasal LF 34 1-2312 4,$0.00 
BHM,Airway nasal Trombet 1 8fr,$0.00 
BHM,Airway nasal Trombet 2 6fr,$0.00 
BHM,Airway nasal Trombet 2 8fr,$0.00 
BHM,Airway nasal Trombet 3 2fr,$0.00 
BHM,Airway nasal Trombet 3 4fr,$0.00 
BHM,Airway naso 12fr 12500 0,$0.00 
BHM,Airway naso 14fr rub r,$0.00 
BHM,Airway naso 16fr rub r,$0.00 
BHM,Airway naso 18fr rub r,$0.00 
BHM,Airway naso 20fr,$0.00 
BHM,Airway naso 20fr 1507 0,$0.00 
BHM,Airway naso 20fr F,$0.00 
BHM,Airway naso 20fr rub r,$0.00 
BHM,Airway naso 22fr,$0.00 
BHM,Airway naso 22fr rub r,$0.00 
BHM,Airway naso 24fr,$0.00 
BHM,Airway naso 24fr 1507 4,$0.00 
BHM,Airway naso 24fr rub r,$0.00 
BHM,Airway naso 26fr 185200- 0,$0.00 
BHM,Airway naso 26fr F,$0.00 
BHM,Airway naso 28fr,$0.00 
BHM,Airway naso 28fr 177 3,$0.00 
BHM,Airway naso 28fr u,$0.00 
BHM,Airway naso 30fr 185200- 0,$0.00 
BHM,Airway naso 30fr 9071507 0,$0.00 
BHM,Airway naso 30fr F,$0.00 
BHM,Airway naso 32fr 185200- 0,$0.00 
BHM,Airway naso 32fr F,$0.00 
BHM,Airway naso 34fr 185200- 0,$0.00 
BHM,Airway naso 34fr F,$0.00 
BHM,Airway oralpharyng sz3 kltd 3,$0.00 
BHM,Airway oropharyngeal siz 4,$0.00 
BHM,Airway oropharyngeal siz 5,$0.00 
BHM,Airway Ovassapian 85mm bd6 5,$0.00 
BHM,Airway resist impul oscillmetr,$648.00 
BHM,Airway tube long term bb11 0,$0.00 
BHM,Albendazole 200mg tab,$345.00 
BHM,Albumin (blood) UC,$66.00 
BHM,Albumin 25% 20ml,$396.00 
BHM,Albumin human 25% 50ml IV,$809.00 
BHM,Albumin human 5% 250ml IV,$722.00 
BHM,Albumin human 5% 50ml ped,$475.00 
BHM,Albumin urine(quant 24 hour),$167.00 
BHM,Albumin-blood,$61.00 
BHM,Albumin-body fluid,$159.00 
BHM,Albumin-CSF,$159.00 
BHM,Albumin-urine,$137.00 
BHM,Albuter/ipratrop 2.5-0.5mg/3ml,$1.00 
BHM,Albuterol 2.5mg/0.5ml inh sol,$1.00 
BHM,Albuterol 2mg tab,$9.00 
BHM,Albuterol HFA 90 mcg/inh 8.5gm,$112.00 
BHM,Albuterol HFA 90mcg 18g,$101.00 
BHM,Albuterol HFA 90mcg/inh 8gm,$40.00 
BHM,Albuterol sulf 0.83%3ml inh,$1.00 
BHM,Albuterol sulf 0.83%3ml inh UC,$0.30 
BHM,Albuterol sulfate 2mg/5ml syrp,$1.00 
BHM,Alcohol Blood Level,$418.00 
BHM,Alcohol isopropyl 70%4oz,$0.00 
BHM,Alcohol isopropyl 999 16oz,$0.00 
BHM,Alcohol rubbing mds09800,$0.00 
BHM,Alcohol Urine Level,$418.00 
BHM,Aldesleukin 22mmu vial IV,"$23,168.00 "
BHM,Aldolase,$2.00 
BHM,Aldosterone 24 hour urine,$6.00 
BHM,Aldosterone-blood,$6.00 
BHM,Alemtuzumab 30mg/ml Campath,$0.00 
BHM,Alendronate 10mg tab,$1.00 
BHM,Alfuzosin ER 10mg tab,$1.00 
BHM,Alk by FISH manual 874-ng,$300.00 
BHM,Alk phosphase electrophoresis,$5.00 
BHM,Alk phosphatase-heat fraction,$370.00 
BHM,Alkaline phosphatase,$61.00 
BHM,Alkaline phosphatase UC,$66.00 
BHM,ALL FISH (adult)-NG,$300.00 
BHM,ALL FISH (pediatric)-NG,$300.00 
BHM,Allergen almond,$4.00 
BHM,Allergen apple,$4.00 
BHM,Allergen apple (c),$4.00 
BHM,Allergen banana (c),$4.00 
BHM,Allergen bananas,$4.00 
BHM,Allergen barley,$4.00 
BHM,Allergen beef,$4.00 
BHM,Allergen carrot,$4.00 
BHM,Allergen cashew nut,$4.00 
BHM,Allergen cat,$4.00 
BHM,Allergen cheese ( c ),$4.00 
BHM,Allergen chicken,$4.00 
BHM,Allergen chocolate-cocoa,$4.00 
BHM,Allergen clam,$4.00 
BHM,Allergen cockroach,$4.00 
BHM,Allergen codfish,$4.00 
BHM,Allergen corn,$4.00 
BHM,Allergen crab,$4.00 
BHM,Allergen D. farinae,$4.00 
BHM,Allergen dog,$4.00 
BHM,Allergen egg white,$4.00 
BHM,Allergen gluten,$4.00 
BHM,Allergen latex specific ige,$4.00 
BHM,Allergen lobster,$4.00 
BHM,Allergen milk (cow),$4.00 
BHM,Allergen oats,$4.00 
BHM,Allergen orange ( c ),$4.00 
BHM,Allergen peanut,$4.00 
BHM,Allergen pork,$4.00 
BHM,Allergen rice,$4.00 
BHM,Allergen salmon,$4.00 
BHM,Allergen scallop,$4.00 
BHM,Allergen shrimp,$4.00 
BHM,Allergen soybean,$4.00 
BHM,Allergen tomato,$4.00 
BHM,Allergen tuna,$4.00 
BHM,Allergen turkey,$4.00 
BHM,Allergen walnut food,$4.00 
BHM,Allergen wheat,$4.00 
BHM,Allergen whole egg,$4.00 
BHM,Allergen zone 5-803-each(c),$2.00 
